name,availabilityVendorId,ordersVendorId
"Rayan Markt, Mokattam - Al Baron Street",774754,62338
"Raya Farms, Hadayek El Ahram - Area ن",748951,54457
"Rashed Pharmacy, zahraa el maadi",718169,32706
"Rahmoun Market, El Esawy",679402,17359
"Ragab El Attar, Heliopolis - Triumph Square",786263,64258
"Ragab El Attar, El Obour - Industrial Area A",786380,64259
"Ragab El Attar, 6th of October - 8th District",786381,64260
"Raeya Pharrmacies, 6th of October - 7th District",781467,63602
"Raeya Pharmacies, 6th of October - 3rd District",781572,63721
"R market, El Sananya - El Hawis",744144,50532
"Quick Mart, El Bahr Street - Qesm Thany",781607,63572
"quick 24, Zamalek - 26 July,Zamalek - 26 July",517287,15488
"quick 24, Waslet Dahshur Road, El Sheikh Zayed - Nile University,El Sheikh Zayed - Nile University",517302,15480
"quick 24, Rehab City Second Phase, El Rehab City,El Rehab City",517303,15483
"Quick 24, Pyramids Heights, New Giza - Schools Area",688909,18548
"quick 24, Omar Ibn El-Khattab, Ard El Golf,Ard El Golf",517306,15481
"quick 24, Mohandseen",517304,15482
"quick 24, El-Bostan, El Sheikh Zayed - Nile University,El Sheikh Zayed - Nile University",517286,15385
"quick 24, El Sheikh Zayed - El Hay 2,El Sheikh Zayed - El Hay 2",517305,15487
"quick 24, El Sheikh Zayed - El Hay 13,El Sheikh Zayed - El Hay 13",517297,15486
"Quick 24, Dandy Mall, El Sheikh Zayed",688923,18547
"quick 24, Al Sadat Axis, Tagammoa 5 - North Investors,Tagammoa 5 - North Investors",517299,15485
"quick 24, Al Sad Al Aali, Dokki - Soliman Gohar Square,Dokki - Soliman Gohar Square",517301,15479
"quick 24, 6th of October - El Hay El Motamyez,6th of October - El Hay El Motamyez",517298,15484
"Qeshta And Assal Market, 6th of October - El Fardous",737799,46500
"Qema Market, El Shorouk - 2nd District",756016,59438
"Pure Market, Gardenia city compound",784662,63974
"Protect Pharmacies, Heliopolis - Triumph Square",743399,50537
"Protect Pharmacies , Heliopolis - Triumph Square",756234,59661
"proccar, Nasr City - Makram Ebeid 2",780459,63497
"Prime Mart, El Esawy",686520,18349
"Prime Market, Mostafa Kamel",786609,65656
"Prime Market, Alextend Compound",786894,64356
"Premium Mart, El Sheikh Zayed - El Hay 5",705696,20865
"Premium Mart, 6th of October - Palm Hills",705701,20859
"Picnic Market, 6th of October - El Ashgar City",778262,63118
"Pickmart, 6th of October - Palm Hills",749354,54815
Pickmart,708633,22937
"pharmacy el saeed, Imbabah - Imbabah Airport",717663,31913
"pharmacy el saeed, 6th of October - El Fardous",717730,31953
"Pharmacy El Nile, New Maadi - El Nadi El Gedid",774483,61912
"Pharmacy 24, Downtown - Qasr El Ainy",772839,61622
"Pharmacia, El Morashaha",702564,20027
"Pharmacia, El Galaa",702563,19957
"Pharmacia For Health And Beauty, El Morashaha",705999,21122
"Pharma Hub Pharmacy, Lauran",743519,50531
"Ph Mira Magdy, Heliopolis - Hegaz Square",719247,33596
"Petzone, El Sheikh Zayed - El Hay 17",787890,64473
"Pets Plaza, Tagammoa 5 - Abo AL Houl",782139,63637
"Pets Perfect, New Maadi - El Basateen El Sharqeya",780552,63496
"Pets Perfect, Glim 2",780532,63495
"Pets Mall, 6th of October - 3rd District-1",785305,63981
"Pets land, Tagammoa 5 - AUC",776820,62814
"pets land, Semouha - Semouha Sporting Club",776751,62815
"Pets Land, Miami - Central Miami",776716,62812
"Pets Land, Maadi Old",776821,62813
"PETS A ONE, El Sheikh Zayed - Beverly Hills",785794,63990
"Petfast,El Sheikh Zayed - El Hay 16 Al Bostan",777176,62873
"Peter Roshdy Pharmacy, Al Manial",717664,31914
"PetBasket, 6th of October - El Hay El Motamyez",770911,61402
"Pet Zone, New Maadi - Taqseem Laselky",787911,64447
"Pet World, Ibrahimia 2",780520,63489
"Pet Set, El Shorouk - 3rd District Sharq",780546,63530
"Pet Oasis, Zezinia",764115,60956
"Pet Oasis, Dokki - Moustafa Mahmoud",764061,60954
"Pet Oasis, Ard El Golf",764311,60955
"PET CARE, El Obour - Eskan El Shabab",780736,63488
"Pesto Market, Haram - Mash'aal",730857,42784
"Perfect Market, Shatby",662360,15212
"Perfect Market, Moharam Bek - Qesm Bab Sharq",662357,15215
"Perfect Market, Moharam Bek - Pawlino",662358,15216
"Perfect Market, Karmos",662356,15213
"Perfect Market, El Ataren",662359,15214
